,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.364e-04,1.159e-04,4.100e-05,4.874e-05,3.579e-05,2.351e-05,3.177e-05
std,7.231e-05,6.245e-05,3.138e-05,3.782e-05,2.791e-05,1.816e-05,2.683e-05
min,1.192e-07,0.000e+00,2.384e-07,4.768e-07,0.000e+00,0.000e+00,5.960e-08
0.1%,1.192e-07,0.000e+00,2.384e-07,4.768e-07,0.000e+00,0.000e+00,5.960e-08
25%,8.175e-05,6.455e-05,1.541e-05,1.878e-05,1.431e-05,1.018e-05,1.242e-05
50%,1.443e-04,1.202e-04,3.362e-05,4.196e-05,2.909e-05,1.735e-05,2.526e-05
75%,1.915e-04,1.620e-04,6.109e-05,7.153e-05,4.995e-05,3.530e-05,4.573e-05
99.9%,3.581e-04,2.985e-04,1.628e-04,2.189e-04,1.518e-04,1.040e-04,1.423e-04
max,3.581e-04,2.985e-04,1.628e-04,2.189e-04,1.518e-04,1.040e-04,1.423e-04
