,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.961e-05,4.301e-04,4.789e-05,4.348e-05,2.379e-05,2.111e-05,2.093e-05
std,1.751e-05,9.059e-05,2.928e-05,2.302e-05,2.232e-05,1.780e-05,1.890e-05
min,1.192e-07,7.248e-05,4.470e-08,2.980e-07,0.000e+00,9.686e-08,2.980e-08
0.1%,1.192e-07,7.248e-05,4.470e-08,2.980e-07,0.000e+00,9.686e-08,2.980e-08
25%,1.642e-05,3.695e-04,2.818e-05,2.627e-05,7.018e-06,7.870e-06,8.173e-06
50%,2.897e-05,4.586e-04,4.683e-05,4.482e-05,1.672e-05,1.700e-05,1.612e-05
75%,3.901e-05,5.004e-04,6.309e-05,5.962e-05,3.250e-05,2.915e-05,2.807e-05
99.9%,1.241e-04,5.727e-04,2.269e-04,1.264e-04,1.329e-04,1.133e-04,1.372e-04
max,1.241e-04,5.727e-04,2.269e-04,1.264e-04,1.329e-04,1.133e-04,1.372e-04
