,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.089e-04,4.787e-05,7.795e-05,7.065e-05,5.598e-05,3.842e-05,1.746e-05,2.769e-05
std,7.749e-05,3.615e-05,1.779e-04,5.862e-05,4.973e-05,2.729e-05,1.548e-05,2.680e-05
min,2.384e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.980e-08,2.198e-07
0.1%,2.384e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.980e-08,2.198e-07
25%,4.324e-05,2.217e-05,0.000e+00,2.415e-05,2.208e-05,2.071e-05,6.651e-06,7.993e-06
50%,9.552e-05,4.005e-05,4.657e-10,5.357e-05,4.566e-05,3.499e-05,1.324e-05,2.136e-05
75%,1.569e-04,6.700e-05,1.016e-04,1.020e-04,7.558e-05,4.974e-05,2.447e-05,3.577e-05
99.9%,3.258e-04,2.501e-04,1.499e-03,3.151e-04,3.126e-04,2.438e-04,9.983e-05,1.908e-04
max,3.258e-04,2.501e-04,1.499e-03,3.151e-04,3.126e-04,2.438e-04,9.983e-05,1.908e-04
