,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.061e-05,1.207e-04,5.940e-05,2.055e-05,1.827e-05,1.599e-05,1.069e-05,1.335e-05
std,2.243e-05,4.838e-05,9.701e-05,1.810e-05,1.694e-05,1.441e-05,1.110e-05,1.068e-05
min,0.000e+00,0.000e+00,0.000e+00,2.980e-08,0.000e+00,2.980e-08,1.676e-08,9.872e-08
0.1%,0.000e+00,0.000e+00,0.000e+00,2.980e-08,0.000e+00,2.980e-08,1.676e-08,9.872e-08
25%,6.706e-06,9.012e-05,2.547e-11,7.235e-06,5.290e-06,4.500e-06,4.222e-06,5.106e-06
50%,1.448e-05,1.189e-04,2.232e-05,1.481e-05,1.460e-05,1.211e-05,6.985e-06,1.100e-05
75%,2.445e-05,1.559e-04,7.820e-05,3.126e-05,2.529e-05,2.216e-05,1.248e-05,1.897e-05
99.9%,2.320e-04,2.728e-04,5.787e-04,1.160e-04,1.061e-04,9.185e-05,7.977e-05,6.748e-05
max,2.320e-04,2.728e-04,5.787e-04,1.160e-04,1.061e-04,9.185e-05,7.977e-05,6.748e-05
